"id";"title";"description";"created_at";"cached_votes_total";"cached_votes_up";"cached_votes_down";"comments_count";"hot_score";"confidence_score"
"3";"¿Qué os parece este nuevo espacio de debate?";"<p>Empezamos a abrir secciones con este espacio de debate abierto, esperamos que os sea útil.</p>
";"06/09/2015 14";"1546";"1331";"215";"322";"862534855";"96079"
"4";"Basuras Moncloa";"<p>Ya sé que es un debate manido, pero el distrito está más sucio que nunca y no solo por culpa del ayuntamiento. Muchos años de abandono y negligencia crean malos hábitos. Los contenedores de reciclado se han convertido en cubos de basura donde se amontona lo que nadie quiere, bolsas de basura, a menudo tiradas desde los balcones de los primeros pisos, e incluso escombros de obras de remodelación.
Pasear por Rosales los sábados o domingos por la mañana es hacerlo entre restos de botellón y papeleras a rebosar de basura que nadie ha limpiado. El domingo es aún peor. El botellón de la zona es salvaje y constante, jueves, viernes y sábado con ruidos hasta bien entrada la madrugada...</p>

<p>Pagamos impuestos elevados, incluidos los de basura, ¿sería mucho pedir que se limpiara el barrio, con campañas de concienciación incluidas? ¿Que se pusiera trabas al botellón, que campa a sus anchas en detrimento de la convivencia? Y por favor, ¿podrían alguna vez BALDEAR las calles como se hacía antiguamente?</p>

<p>Esta ciudad, este modelo de ciudad, nos va a echar a todos los vecinos de su almendra central...</p>
";"07/09/2015 10";"57";"52";"5";"1";"859606961";"4287"
"5";"Funciones de la policía municipal de Madrid. ";"<p>Propongo <strong>repensar algunas de las funciones de la policía municipal de Madrid</strong>. En algunas otras ciudades se está ya planteando que la policía municipal no participe en deshucios, por ejemplo. (Referencia: http://ccaa.elpais.com/ccaa/2015/09/02/valencia/1441207546_192232.html) </p>

<p>También sería interesante, además de este nuevo catálogo de tareas generales y responsablidades de la policía municial, <strong>repensar el papel de las Unidades Centrales de Seguridad (UCS), conocidas como «antidisturbios»</strong>. Ya existen cuerpos similares del Cuerpo Nacional de Policñia y Guardia Civil y hay que preguntarse si la ciudad necesita una unidad de ese tipo.</p>

<p>Igualmente propondría una <strong>reflexión sobre la vestimenta de los agentes.</strong> La uniformidad y color negro usado por la UCS tiene connotaciones paramilitares poco adecuadas para la tarea civil que tiene que llevar a cabo. (Foto de la UCS: http://www.abc.es/Media/201106/25/jose--644x362.jpg)  En Europa desde hace tiempo se vienen desmilitarizando las policías y asignándoles colores como el azul o el blanco. </p>

<p>Por último propongo regular mejor -y hacer cumplir- la <strong>normativa en cuanto a la identificación de los agentes de la policía municipal.</strong> En muchas ocasiones el número de identificación no es visible durante su trabajo en espacios públicos y en el caso de llevar un chaleco de protección prácticamente ningún agente lo lleva visible. </p>

<p>Muchas gracias. </p>

<p>  </p>
";"07/09/2015 10";"248";"189";"59";"14";"860632412";"9907"
"7";"Madrid ciclista y bicimad";"<p>Me gustaría saber qué problemas detectamos que se puedan resolver en una legislatura, cómo imaginamos un Madrid ciclista y cuáles son los ejemplos en los que Madrid podría inspirarse. Para esto os propongo algunas preguntas que me hago habitualmente,</p>

<ul>
	<li>¿Qué deberíamos mejorar inmediatamente si tuviésemos un presupuesto en manos de la ciudadanía (biciMad, carril bici... etc.) para esta legislatura?</li>
	<li>¿Qué sistemas de convivencia bici-coche y/o bici-peatón conocéis que existen y funcionan? Con ejemplos o enlaces, por favor!</li>
	<li>¿Cuales serían nuestas ciudades de ejemplo, teniendo en cuenta clima y orografía de Madrid ciudad?</li>
</ul>

<p>Por supuesto, respuesta abierta. La idea es plantear <strong>qué problemas tenemos ahora que podamos solucionar a corto plazo y cómo nos imaginamos un Madrid compatible con las bicicletas.</strong></p>
";"07/09/2015 10";"318";"256";"62";"142";"863816823";"15617"
"8";"¿SOPLADORAS? NO GRACIAS";"<p>La sopladoras son máquinas realmente infernales: levantan el polvo y lo ponen en suspensión con grave perjuicio para personas sensibles y con afecciones respiratorias; además, pese a que una parte se pueda recoger, es cambiar la porquería de sitio más que limpiarla y, por último, su ruido es un molestísimo foco de contaminación acústica.</p>

<p>Para los ciudadanos y ciudadanas que tenemos que soportarlas son de las peores cosas de esta ciudad, y qué decir para las personas que tienen que manejarlas, que han de ir cubiertas de medidas de protección personal, por lo que no parece que sea una maquinaria muy benigna, ciertamente.</p>

<p>En su lugar, barrer las calles y/o baldearlas hace que las tareas de limpieza sean menos agresivas con la ciudadanía y aumenta la cantidad necesaria de trabajadores y trabajadoras para realizar dichas tareas, lo cual se traduce en empleo...</p>
";"07/09/2015 10";"847";"713";"134";"41";"867898123";"48739"
"9";"Fuentes públicas, bancos y sombras";"<p>Las calles y plazas de Madrid se han vuelto duras: solo cemento, sin fuentes, bancos ni sombras. Se supone que facilita el mantenimiento, pero en realidad se hace para incitar al consumo en grandes establecimientos al buscar refugio y para facilitar la invasión privada de espacios públicos con terrazas, actos de promoción, etc.</p>

<p>Hay que crear una red de fuentes de agua potable e instalar más bancos y sombras en todas las calles y plazas. Esto estimularía el deporte, la peatonalidad y el intercambio social.</p>
";"07/09/2015 11";"3299";"3107";"192";"124";"877311700";"274534"
"10";"Madrid Río y la convivencia entre ciclistas y peatones";"<p>Propongo realizar una <strong>adaptación a la realidad en el uso del parque lineal ""Madrid Rio"". </strong>Como vecino de Arganzuela y habitual persona que pasea, corre, monta en bici por Madrid Rio, he observado en estos años un gran problema:</p>

<p>El hecho de que el paseo sea compartido con viandantes y ciclistas/bicicletas, puede suponer un gran problema, ya que ademas de ser muy incomodo para los segundo (no poder ir medianamente ligero, y tener que ir a velocidad de peatón, 20km/h como límite máximo establecido), se suma el riesgo (muy elevado) de atropello, tanto de adultos como de niños (ya que estos corren, se mueven, disfrutan; como debe ser; y no mantienen trayectos rectos, sino imprevisibles, y por lo tanto muy difícil de evitar con la bicicleta).</p>

<p>Ante tan magna obra, creo que sería sumamente fácil,<strong> delimitar una parte del paseo</strong> (ya que este tiene aprox. 6 m. de ancho) <strong>como carril bici</strong>, bien mediante <strong>bajos bolardos</strong>, o bien mediante una delimitación con <strong>""<em>tierra de albero</em></strong>"" de distinto color o pintura.</p>

<p>En su día el Ayuntamiento de Madrid (abril del 2011) argumentaban qué:</p>

<p> </p>

<p></p>

<p> </p>

<p></p>

<p><em>Si se divide el espacio transitable, tendríamos un espacio libre dividido en franjas estrechas reservadas para cada uno de los posibles tipos de usuarios del paseo.</em></p>

<p><em>Frente a ello, se ha optado por un diseño de parque que promueve la convivencia civilizada entre los diferentes usuarios, sin que se molesten unos a otros, como ya sucede en otros parques de la ciudad, como el Retiro, en donde los diferentes usuarios conviven sin problemas.</em></p>

<p><em>El tipo de senda de convivencia entre peatones y ciclistas que estamos promoviendo en el parque Madrid Río, está previsto en la normativa vigente, con el nombre de ""senda ciclable"". Así se recoge en el Anexo I, apartado 75 de la Ley de Tráfico y Seguridad Vial, vigente desde el año 2001. En dicho documento se define la senda ciclable como ""Vía para peatones y ciclos, segregada del tráfico motorizado, y que discurre por espacios abiertos, parques, jardines o bosques"" [...]</em></p>

<p><em>Si, por el contrario, se hubiese optado por marcar una zona exclusiva para bicicletas, eso hubiera fomentado la circulación a velocidades elevadas al sentirse los ciclistas en un espacio propio, lo que a la larga podría resultar peligroso para los peatones, que difícilmente pueden controlar en todo momento a los niños para que no invadan la zona contigua, por señalizada que esté, e incluso los propios adultos, durante el paseo, pueden entrar en la zona señalizada. Igualmente, los perros, aun circulando con correa, podrían en ocasiones entrar en la zona reservada a ciclistas.</em></p>

<p>Ante esa respuesta (recuerdo, abril del 2011), estuve investigando un poco sobre este tipo de vías y algunos estudios de otros ayuntamientos en relación a la movilidad urbana, así encontre que la Gerencia de Urbanismo del Excm. Ayto de Malaga (""Normas básicas para el diseño de vías ciclables"") dice cosas tan interesantes como:</p>

<p>[]En imprescindible, como criterio de diseño, limitar al máximo las pérdidas de energía cinética en los desplazamientos en bicicleta, significando ello pues que el ciclista no debe ser obligado a frenar continuamente su velocidad más de lo estrictamente necesario y que los tratamiento formales de estas infraestructuras deben ser adecuadas a este principio. Por lo tanto, si se pretende maximizar el uso de una vía ciclable, es necesario intentar por todos los medios, priorizar la movilidad continua de la bicicleta []</p>

<p> </p>

<p></p>

<p>Así pues, el diseño eficiente de una vía ciclable pasa necesariamente por la premisa indispensable de limitar el frenado continuo para los ciclistas, aún a costa de las preferencias teóricas de otros usuarios, que en cualquier caso podrían asumir sin tan alto coste dicha situación. []</p>

<p>[]La bicicleta posee como vehículo una inestabilidad estructural derivada de su limitación a dos puntos de apoyo, que sólo puede ser compensada mediante la aceleración cetrífuga obtenida a partir de cierta velocidad.</p>

<p>[]De este modo el ciclista se ve obligado a realizar continuos microcambios en la trayectoria para corregir la citada inestabilidad hasta alcanzar la velocidad necesaria, momento a partir del cual el vaivén se reduce casi totalmente. Por lo tanto, la longitud del arco de vaivén es tanto mayor cuanto menor es la velocidad. (Gerencia de Urbanismo. Ayto de Málaga)</p>

<p>Así pues el hecho del que el/la ciclista deba estar continuamente ajustando su velocidad mediante cambios bruscos de velocidad, frenazos, giros, microgiros...genera una inestabilidad en el/la ciclista, y por lo tanto el consiguiente riesgo de accidentes, tanto del ciclista como por el riesgo de atropello a otros viandantes.</p>

<p>Por lo tanto sugiero la posibilidad de <strong>implementar alguna/s de estas soluciones:</strong></p>

<ol>
	<li>Teniendo en cuenta los diferentes estudios de la siniestralidad de <strong>aceras-bicis (vías ciclables) frente a carriles-bici</strong> (donde la sinisetralidad disminuye en muchos casos en mas de un 70%), propongo r<strong>eplantear la condición de ""acera-bici"" de Madrid Río</strong>, y plantear la <strong>delimitación de una parte de esa acera como ""carril-bici"" de doble dirección.</strong>
</li>
	<li>Con el fin de que esta sea una <strong>medidad de bajo coste</strong>, tan solo con <strong>delimitar este carril-bici con un color de aslfato muy diferente al resto de la acera</strong> se crearía una percepción clara al resto de viandantes, así como el incluir señales horizontales sobre el mismo carril-bici y verticales.</li>
	<li>Como medida suplementaría se podrían instalar una <strong>pequeños bolardos</strong> (no superiores en altura a los 5cm) para remarcar aún más la delimitación de carril-bici frente a la acera.</li>
	<li>De forma paralela, en aquello <strong>lugares de intersección, cruce o cercanía a parques infantiles</strong>, se debería poner un asfalto mas rugoso y otras medidas persuasorias para que las bicicletas disminuyan la velocidad al atravesar dichas zonas, con el fin de ganar en seguridad.</li>
</ol>

<p> </p>

<p>Muchas gracias</p>

<p> </p>
";"07/09/2015 11";"581";"510";"71";"96";"868095168";"38535"
"12";"Publicidad sexual en coches";"<p>A nadie que tenga coche y no disponga de garage escapa que cada vez son mayores el número y la frecuencia de anuncios de contenidos sexual que aparecen en los vehículos cada mañana. No solo son un lastre para la limpieza de nuestras calles, ya que muchos de ellos acaban en la acera o el asfalto, sino que también quedan a la vista de todos, incluidos niños que no tienen por qué estar siendo bombardeados con anuncios en los que se muestra a las mujeres como si fuesen carne, fomentando la cosificación de la mujer contra la que por otros medios tratamos de luchar. </p>

<p>He comprobado en primera persona este problema en barrios como Carabanchel, Legazpi o Ciudad Lineal, pero no creo que se trate de casos aislados. </p>

<p>A mi entender, urge regular y perseguir esta actividad que va en detrimento de la mayoría de madrileños y madrileñas, así como de quienes visitan o residen en nuestra ciudad. Espero que desde el nuevo Ayuntamiento puedan luchar contra este y otros males de nuestra ciudad, ahora que por fin los ciudadanos tenemos algo de voz en las instituciones. </p>

<p> </p>

<p>Gracias</p>
";"07/09/2015 11";"628";"506";"122";"67";"865756000";"30940"
"13";"Devolver ON29";"<p>Propongo que se devuelva el solar de Ofelia Nieto, 29 a la familia que vivia en el, y que se les ayude a reconstruir su vivienda.</p>
";"07/09/2015 11";"67";"52";"15";"3";"857061303";"2871"
"14";"Limpieza de graffitis y remodelación de Aluche";"<p>Los vecinos de Aluche vemos día tras día como nuestro querido barrio está cada vez más sucio y descuidado.</p>

<p>Graffitis y basura por todas partes, aceras rotas, baches en la carretera, zonas de jardines destrozadas...</p>

<p>Propongo que se lleven a cabo un estudio y posteriores acciones para mejorar el aspecto del barrio, sobre todo en cuanto a limpieza. Las propuestas concretas serían: limpiar todos los graffittis (multa a infractores), arreglar las aceras, mejorar las zonas de los contenedores (más medios para la limpieza, más contenedores de todo tipo).</p>
";"07/09/2015 11";"167";"152";"15";"23";"864566618";"12469"
