"title";"body";"proposal_id";"created_at"
"Probando";"1,2,3";"11817";"16/06/2016 14"
"Necesitamos nueva Ordenanza de Tenencia de Animales Domésticos para Madrid";"Mi experiencia de vivir con un perrete en el centro de Madrid cada día refuerza la idea de que es necesaria una nueva Ordenanza que mejore tanto la vida de estos ciudadanos de cuatro patas, como la convivencia con el resto de la población. La ciudad de Madrid daría un gran avance si adopta medidas modernas y contrastadas, acordes con la evolución de la sociedad, para la tenencia responsable de animales domésticos, así como contra el maltrato animal, que tan buenos resultados están dando en otras ciudades de España y del mundo.
Muchas gracias por haber apoyado la propuesta, y espero que sigamos en contacto.
Diego";"11211";"17/06/2016 10"
"Os pido ayuda para divulgar la propuesta";"Hola, gracias por vuestro apoyo .  Es importante intentar divulgar la propuesta todo lo que podamos para sumar apoyos , contamos con muy pocos de momento y faltan muuuchos para que se pueda llegar a tomar en consideración esta propuesta. Este es el enlace:
https://decide.madrid.es/proposals/11648-viviendas-en-cooperativa-para-las-cocheras-de-fuente-del-berro";"11648";"17/06/2016 10"
"zona verde en la guitarra";"Tenemos que conseguir que esta propuesta prospere para que no se convierta la zona en un aparcamiento de camiones y furgonetas de chatarrreros.";"5898";"17/06/2016 10"
"Fuentes de Refresco en el parque del Retiro";"Hola a todos los que habéis apoyado mi propuesta y ante todo daros las gracias. No sé cómo una propuesta donde han votado 555 usuarios (una de las que más votaciones ha tenido) no ha pasado a la siguiente fase. Hay una propuesta también con la que estoy de acuerdo y que sí ha pasado a la siguiente fase para poner fuentes de chorro en el parque de Roma, pero creo que es más necesario aún ponerlas en el Parque del Retiro, donde va gente de todo Madrid.

Tampoco entiendo que el presupuesto para poner unos chorros en el suelo sea de un millón y pico de euros, ¿quién hace esos presupuestos? Si los parques están llenos de canalizaciones para el Riego, entiendo que como muchísimo una obra así supondría un coste de no más de 300.000 euros tirando por lo altísimo.

Si alguien me lo puede explicar, estaré encantada de escucharle.

Un saludo a todos y ojalá esta petición siga adelante, ahora que se acercan los calores y muchos de nuestros niños van a pasar unos meses con 40 grados y rodeados de asfalto.";"8230";"17/06/2016 11"
"Oficina municipal para la diversidad funcional";"Es necesaria crear una oficina municipal para la diversidad funcional, según el plan de estrategia de la UE de 2010/2020 para las personas con discapacidad, recoge lo aprobado en la Convención de nueva York del 2006, los derechos fundamentales de las personas con discapacidad de los DDHH, donde todos los Estados miembros de la Unión son adscritos a dicha tratado de la Convención, sin embargo en el estado español estos acuerdos han sido totalmente insumisos haciendo enormes recortes sociales y económicos, siendo siempre los colectivos más desfavorecidos los damnificados de estas políticas de austeridad discriminatorias debemos de una vez por todas, ya que tenemos portavocias en las instituciones dando visibilidad al colectivo , pero esto nones suficiente si la mentalidad del estigma social hacia este colectivo , no se hacen políticas sociales para almorzar la Convención en nuestra legislación de forma ejecutiva y jurídica desde abajo debemos demandar este total desconocimiento que las instituciones y la mayor Asociación que Dic representar al colectivo aún no han tomado medidas de urgencia social.";"9276";"17/06/2016 11"
"Mantenimiento de soportales por el ayuntamiento";"Me he comunicado con el ayuntamiento y aducen que cuando se construyó la finca ya se sabía a qué estamos obligados.
No entiendo una ley en la que 1 parte es la perdedora por definición y la otra (ayuntamiento)  se lleva todas las de ganar.
Es una ley injusta, asi lo comuniqué. 
Si dejamos que este tipo de leyes persistan hacemos flaco favor a la sociedad.
Mi propuesta es que si los soportales son de uso público, su limpieza y mantenimiento corran a cargo del ayuntamiento..de manera que las leyes injustas vayan desapareciendo.
Gracias por apoyar mi propuesta.
Saludos
Una ciudadana con sentido de la justicia";"3143";"17/06/2016 11"
"No lo conseguí";"Hola
Me persone en la junta municipal y los responsables de estos asuntos me dijeron que el mantenimiento de los aparcamientos de residentes, corren a cargo de los residentes.
Que el aparcamiento que se construyó en momento que NO  era obligatorio que los ascensores no llegaran a nivel calle, no se les iba a obligar a hacer la obra.
Veo que estos aparcamientos se están abandonando porque los cesionarios no invierten en la mejora de algo que NO es de su propiedad..situación muy lamentable.
Dudo que si nos llega el ayuntamiento a vender las plazas no nos reclamen que eliminemos las barreras para minusvalidos.
Gracias por apoyar mi propuesta.
Saludos";"83";"17/06/2016 11"
"PROPUESTA: CREACIÓN DE UN BANCO DE ALIMENTOS DE GESTIÓN MUNICIPAL PARA FAMILIAS SIN RECURSOS";"Me pongo en contacto contigo puesto que has mostrado tu interés votando esta propuesta de emergencia ciudadana cuyo objetivo es paliar la situación de las familias sin recursos mediante la cobertura por parte del ayuntamiento de Madrid de un derecho fundamental como es el derecho a la alimentación de tod@s los madrileñ@s, especialmente el de los más precarios como son los niños y niñas de esta ciudad.
Por ello, pido tu colaboración para difundir y votar esta propuesta entre tus familiares y amigos más cercanos.
Gracias por tu voto, tu ayuda y piensa que si esta propuesta sale adelante, mucha gente que hoy se acuesta en la cama sin cenar y se levanta sin poder desayunar, podrá hacerlo gracias a ti.
Abrazos¡
https://decide.madrid.es/proposals/10551-creacion-de-un-banco-de-alimentos-de-gestion-municipal-para-familias-sin-recurso";"10551";"17/06/2016 11"
"En marcha";"Hola,
Antes de nada, gracias por aprobar mi propuesta. Me indican que podemos empezar a dar forma a las propuestas formuladas y que para ello enviemos un mensaje las autoras que se reenviará a cada persona que las ha apoyado. Por todo ello os escribo, así como para animaros a reunirnos y/o enviarnos vuestras sugerencias. 
Un saludo, 
CGI";"10755";"17/06/2016 12"
