"tag_id";"taggable_id";"taggable_type"
"30";"4";"Debate"
"5";"5";"Debate"
"39";"5";"Debate"
"14";"10";"Debate"
"40";"10";"Debate"
"41";"10";"Debate"
"28";"12";"Debate"
"27";"12";"Debate"
"17";"12";"Debate"
"29";"12";"Debate"
"42";"12";"Debate"
"43";"13";"Debate"
"44";"14";"Debate"
"28";"14";"Debate"
"42";"14";"Debate"
"45";"15";"Debate"
"46";"15";"Debate"
"47";"15";"Debate"
"48";"15";"Debate"
"42";"15";"Debate"
"49";"15";"Debate"
"44";"16";"Debate"
"50";"16";"Debate"
"51";"16";"Debate"
"52";"19";"Debate"
"53";"21";"Debate"
"54";"22";"Debate"
"55";"23";"Debate"
"14";"24";"Debate"
"56";"24";"Debate"
"57";"24";"Debate"
"20";"24";"Debate"
"35";"26";"Debate"
"59";"28";"Debate"
"60";"28";"Debate"
"61";"28";"Debate"
"62";"28";"Debate"
"63";"28";"Debate"
"64";"27";"Debate"
"65";"27";"Debate"
"66";"27";"Debate"
"54";"29";"Debate"
"67";"30";"Debate"
"68";"31";"Debate"
"69";"31";"Debate"
"42";"34";"Debate"
"70";"34";"Debate"
"71";"34";"Debate"
"72";"34";"Debate"
"73";"34";"Debate"
"74";"36";"Debate"
"75";"35";"Debate"
"28";"38";"Debate"
"76";"38";"Debate"
"77";"39";"Debate"
"78";"40";"Debate"
"79";"40";"Debate"
"80";"41";"Debate"
"81";"41";"Debate"
"82";"41";"Debate"
"22";"43";"Debate"
"21";"43";"Debate"
"26";"43";"Debate"
"32";"43";"Debate"
"83";"43";"Debate"
"37";"43";"Debate"
"35";"43";"Debate"
"20";"43";"Debate"
"84";"43";"Debate"
"44";"43";"Debate"
"85";"43";"Debate"
"27";"43";"Debate"
"17";"43";"Debate"
"86";"43";"Debate"
"42";"45";"Debate"
"88";"45";"Debate"
"89";"45";"Debate"
"90";"45";"Debate"
"46";"45";"Debate"
"70";"45";"Debate"
"91";"47";"Debate"
"92";"48";"Debate"
"93";"48";"Debate"
"33";"49";"Debate"
"26";"49";"Debate"
"18";"49";"Debate"
"33";"50";"Debate"
"95";"52";"Debate"
"24";"52";"Debate"
"96";"52";"Debate"
"97";"52";"Debate"
"98";"52";"Debate"
"99";"52";"Debate"
"100";"52";"Debate"
"101";"52";"Debate"
"102";"52";"Debate"
"104";"44";"Debate"
"105";"44";"Debate"
"106";"44";"Debate"
"107";"53";"Debate"
"108";"53";"Debate"
"109";"53";"Debate"
"110";"54";"Debate"
"47";"55";"Debate"
"111";"55";"Debate"
"112";"55";"Debate"
"113";"56";"Debate"
"114";"56";"Debate"
"115";"56";"Debate"
"30";"57";"Debate"
"34";"57";"Debate"
"116";"57";"Debate"
"117";"57";"Debate"
"118";"57";"Debate"
"119";"57";"Debate"
"120";"57";"Debate"
"121";"57";"Debate"
"122";"57";"Debate"
"123";"60";"Debate"
"124";"60";"Debate"
"125";"60";"Debate"
"126";"60";"Debate"
"127";"60";"Debate"
"24";"61";"Debate"
"14";"61";"Debate"
"128";"65";"Debate"
"129";"65";"Debate"
"130";"65";"Debate"
"22";"67";"Debate"
"131";"68";"Debate"
"19";"69";"Debate"
"132";"75";"Debate"
"47";"75";"Debate"
"133";"75";"Debate"
"35";"76";"Debate"
"134";"77";"Debate"
"4";"82";"Debate"
"135";"82";"Debate"
"136";"82";"Debate"
"21";"82";"Debate"
"18";"84";"Debate"
"137";"84";"Debate"
"138";"84";"Debate"
"34";"84";"Debate"
"75";"84";"Debate"
"139";"84";"Debate"
"140";"84";"Debate"
"141";"84";"Debate"
"142";"85";"Debate"
"143";"85";"Debate"
"144";"86";"Debate"
"41";"86";"Debate"
"145";"86";"Debate"
"146";"86";"Debate"
"147";"86";"Debate"
"55";"86";"Debate"
"148";"86";"Debate"
"149";"87";"Debate"
"150";"90";"Debate"
"151";"90";"Debate"
"152";"90";"Debate"
"153";"90";"Debate"
"143";"91";"Debate"
"154";"91";"Debate"
"155";"91";"Debate"
"156";"91";"Debate"
"157";"91";"Debate"
"158";"91";"Debate"
"159";"91";"Debate"
"160";"92";"Debate"
"3";"97";"Debate"
"165";"99";"Debate"
"166";"99";"Debate"
"26";"100";"Debate"
"17";"100";"Debate"
"167";"100";"Debate"
"168";"100";"Debate"
"169";"100";"Debate"
"170";"100";"Debate"
"171";"100";"Debate"
"172";"100";"Debate"
"26";"101";"Debate"
"33";"101";"Debate"
"95";"101";"Debate"
"42";"103";"Debate"
"33";"103";"Debate"
"174";"104";"Debate"
"18";"107";"Debate"
"2";"108";"Debate"
"12";"108";"Debate"
"4";"108";"Debate"
"175";"109";"Debate"
"43";"109";"Debate"
"176";"109";"Debate"
"37";"110";"Debate"
"178";"110";"Debate"
"179";"111";"Debate"
"180";"112";"Debate"
"33";"114";"Debate"
"14";"114";"Debate"
"181";"115";"Debate"
"59";"118";"Debate"
"183";"123";"Debate"
"49";"123";"Debate"
"157";"124";"Debate"
"143";"124";"Debate"
"33";"125";"Debate"
"184";"125";"Debate"
"185";"125";"Debate"
"186";"125";"Debate"
"33";"126";"Debate"
"42";"126";"Debate"
"187";"126";"Debate"
"70";"126";"Debate"
"45";"126";"Debate"
"188";"126";"Debate"
"33";"128";"Debate"
"189";"128";"Debate"
"190";"128";"Debate"
"191";"128";"Debate"
"192";"128";"Debate"
"20";"129";"Debate"
"26";"129";"Debate"
"193";"130";"Debate"
"194";"130";"Debate"
"40";"131";"Debate"
"28";"131";"Debate"
"195";"133";"Debate"
"33";"134";"Debate"
"106";"134";"Debate"
"196";"134";"Debate"
"197";"134";"Debate"
"198";"134";"Debate"
"26";"135";"Debate"
"37";"135";"Debate"
"29";"135";"Debate"
"22";"135";"Debate"
"33";"135";"Debate"
"23";"135";"Debate"
"31";"135";"Debate"
"36";"135";"Debate"
"28";"135";"Debate"
"18";"135";"Debate"
"35";"135";"Debate"
"19";"135";"Debate"
"21";"135";"Debate"
"27";"135";"Debate"
"34";"135";"Debate"
"24";"135";"Debate"
"32";"135";"Debate"
"30";"135";"Debate"
"8";"137";"Debate"
"199";"137";"Debate"
"33";"138";"Debate"
"75";"139";"Debate"
"200";"139";"Debate"
"201";"139";"Debate"
"43";"140";"Debate"
"202";"140";"Debate"
"175";"140";"Debate"
"203";"140";"Debate"
"33";"141";"Debate"
"204";"142";"Debate"
"205";"144";"Debate"
"31";"144";"Debate"
"20";"145";"Debate"
"37";"145";"Debate"
"17";"148";"Debate"
"33";"148";"Debate"
"26";"148";"Debate"
"20";"148";"Debate"
"37";"148";"Debate"
"29";"148";"Debate"
"22";"148";"Debate"
"23";"148";"Debate"
"31";"148";"Debate"
"36";"148";"Debate"
"28";"148";"Debate"
"18";"148";"Debate"
"35";"148";"Debate"
"19";"148";"Debate"
"21";"148";"Debate"
"27";"148";"Debate"
"34";"148";"Debate"
"24";"148";"Debate"
"32";"148";"Debate"
"30";"148";"Debate"
"75";"149";"Debate"
"206";"149";"Debate"
"207";"152";"Debate"
"20";"156";"Debate"
"33";"156";"Debate"
"208";"160";"Debate"
"33";"161";"Debate"
"17";"161";"Debate"
"33";"164";"Debate"
"209";"167";"Debate"
"4";"168";"Debate"
"33";"170";"Debate"
"46";"171";"Debate"
"26";"177";"Debate"
"17";"177";"Debate"
"37";"177";"Debate"
"29";"177";"Debate"
"22";"177";"Debate"
"23";"177";"Debate"
"20";"177";"Debate"
"31";"177";"Debate"
"36";"177";"Debate"
"28";"177";"Debate"
"19";"177";"Debate"
"21";"177";"Debate"
"27";"177";"Debate"
"34";"177";"Debate"
"24";"177";"Debate"
"32";"177";"Debate"
"18";"177";"Debate"
"35";"177";"Debate"
"183";"179";"Debate"
"77";"179";"Debate"
"112";"180";"Debate"
"33";"182";"Debate"
"210";"188";"Debate"
"33";"188";"Debate"
"211";"188";"Debate"
"59";"188";"Debate"
"212";"188";"Debate"
"213";"188";"Debate"
"26";"190";"Debate"
"33";"193";"Debate"
"37";"193";"Debate"
"28";"193";"Debate"
"36";"193";"Debate"
"31";"193";"Debate"
"20";"193";"Debate"
"34";"193";"Debate"
"24";"193";"Debate"
"32";"193";"Debate"
"30";"193";"Debate"
"18";"193";"Debate"
"35";"193";"Debate"
"19";"193";"Debate"
"21";"193";"Debate"
"27";"193";"Debate"
"33";"195";"Debate"
"215";"199";"Debate"
"216";"199";"Debate"
"33";"207";"Debate"
"217";"207";"Debate"
"218";"207";"Debate"
"75";"207";"Debate"
"72";"207";"Debate"
"219";"207";"Debate"
"220";"208";"Debate"
"106";"209";"Debate"
"42";"210";"Debate"
"221";"214";"Debate"
"8";"217";"Debate"
"222";"217";"Debate"
"223";"217";"Debate"
"208";"217";"Debate"
"224";"217";"Debate"
"33";"218";"Debate"
"33";"220";"Debate"
"226";"220";"Debate"
"63";"220";"Debate"
"61";"220";"Debate"
"227";"219";"Debate"
"228";"219";"Debate"
"229";"219";"Debate"
"230";"219";"Debate"
"41";"223";"Debate"
"145";"223";"Debate"
"33";"224";"Debate"
"192";"225";"Debate"
"231";"225";"Debate"
"232";"226";"Debate"
"233";"229";"Debate"
"234";"229";"Debate"
"235";"229";"Debate"
"236";"229";"Debate"
"237";"229";"Debate"
"148";"230";"Debate"
"42";"230";"Debate"
"238";"230";"Debate"
"239";"230";"Debate"
"93";"231";"Debate"
"240";"231";"Debate"
"90";"233";"Debate"
"42";"233";"Debate"
"208";"233";"Debate"
"241";"235";"Debate"
"33";"238";"Debate"
"55";"240";"Debate"
"12";"240";"Debate"
"28";"241";"Debate"
"27";"241";"Debate"
"242";"241";"Debate"
"75";"241";"Debate"
"243";"242";"Debate"
"33";"242";"Debate"
"14";"242";"Debate"
"244";"242";"Debate"
"3";"243";"Debate"
"245";"244";"Debate"
"3";"245";"Debate"
"33";"246";"Debate"
"42";"246";"Debate"
"26";"248";"Debate"
"22";"248";"Debate"
"23";"248";"Debate"
"28";"248";"Debate"
"37";"248";"Debate"
"36";"248";"Debate"
"31";"248";"Debate"
"20";"248";"Debate"
"33";"248";"Debate"
"17";"248";"Debate"
"19";"248";"Debate"
"21";"248";"Debate"
"34";"248";"Debate"
"24";"248";"Debate"
"32";"248";"Debate"
"30";"248";"Debate"
"27";"248";"Debate"
"18";"248";"Debate"
"35";"248";"Debate"
"246";"249";"Debate"
"36";"251";"Debate"
"26";"253";"Debate"
"33";"253";"Debate"
"34";"254";"Debate"
"93";"255";"Debate"
"179";"255";"Debate"
"247";"258";"Debate"
"248";"258";"Debate"
"21";"258";"Debate"
"249";"258";"Debate"
"33";"259";"Debate"
"12";"259";"Debate"
"27";"262";"Debate"
"250";"263";"Debate"
"33";"265";"Debate"
"26";"265";"Debate"
"22";"265";"Debate"
"23";"265";"Debate"
"37";"265";"Debate"
"31";"265";"Debate"
"20";"265";"Debate"
"32";"265";"Debate"
"24";"265";"Debate"
"19";"265";"Debate"
"21";"265";"Debate"
"17";"265";"Debate"
"30";"265";"Debate"
"27";"265";"Debate"
"18";"265";"Debate"
"35";"265";"Debate"
"34";"265";"Debate"
"33";"267";"Debate"
"251";"267";"Debate"
"24";"268";"Debate"
"2";"270";"Debate"
"252";"270";"Debate"
"30";"272";"Debate"
"33";"274";"Debate"
"17";"276";"Debate"
"245";"278";"Debate"
"253";"278";"Debate"
"254";"278";"Debate"
"106";"278";"Debate"
"255";"278";"Debate"
"30";"279";"Debate"
"256";"281";"Debate"
"26";"283";"Debate"
"22";"283";"Debate"
"17";"283";"Debate"
"23";"283";"Debate"
"37";"283";"Debate"
"31";"283";"Debate"
"20";"283";"Debate"
"29";"283";"Debate"
"36";"283";"Debate"
"33";"283";"Debate"
"28";"283";"Debate"
"32";"283";"Debate"
"19";"283";"Debate"
"21";"283";"Debate"
"27";"283";"Debate"
"18";"283";"Debate"
"35";"283";"Debate"
"34";"283";"Debate"
"24";"283";"Debate"
"30";"283";"Debate"
"22";"286";"Debate"
"4";"287";"Debate"
"2";"287";"Debate"
"20";"287";"Debate"
"42";"288";"Debate"
"33";"289";"Debate"
"14";"292";"Debate"
"36";"292";"Debate"
"22";"293";"Debate"
"106";"297";"Debate"
"14";"299";"Debate"
"33";"299";"Debate"
"17";"299";"Debate"
"23";"299";"Debate"
"20";"299";"Debate"
"36";"299";"Debate"
"26";"299";"Debate"
"37";"299";"Debate"
"31";"299";"Debate"
"29";"299";"Debate"
"28";"299";"Debate"
"32";"299";"Debate"
"19";"299";"Debate"
"21";"299";"Debate"
"18";"299";"Debate"
"30";"299";"Debate"
"24";"299";"Debate"
"34";"299";"Debate"
"35";"299";"Debate"
"207";"300";"Debate"
"24";"303";"Debate"
"34";"306";"Debate"
"37";"307";"Debate"
"20";"307";"Debate"
"70";"312";"Debate"
"259";"312";"Debate"
"260";"312";"Debate"
"261";"312";"Debate"
"19";"314";"Debate"
"183";"314";"Debate"
"262";"314";"Debate"
"33";"317";"Debate"
"263";"318";"Debate"
"245";"320";"Debate"
"33";"321";"Debate"
"24";"321";"Debate"
"42";"321";"Debate"
"264";"321";"Debate"
"24";"325";"Debate"
"18";"325";"Debate"
"34";"325";"Debate"
"29";"325";"Debate"
"28";"325";"Debate"
"33";"325";"Debate"
"26";"325";"Debate"
"31";"325";"Debate"
"265";"325";"Debate"
"266";"325";"Debate"
"267";"325";"Debate"
"33";"326";"Debate"
"33";"328";"Debate"
"26";"331";"Debate"
"268";"333";"Debate"
"55";"334";"Debate"
"269";"334";"Debate"
"270";"334";"Debate"
"271";"334";"Debate"
"33";"335";"Debate"
"33";"336";"Debate"
"272";"336";"Debate"
"54";"336";"Debate"
"273";"336";"Debate"
"274";"339";"Debate"
"275";"340";"Debate"
"246";"340";"Debate"
"276";"340";"Debate"
"277";"340";"Debate"
"278";"340";"Debate"
"17";"341";"Debate"
"28";"341";"Debate"
"244";"342";"Debate"
"209";"342";"Debate"
"33";"342";"Debate"
"18";"343";"Debate"
"33";"344";"Debate"
"279";"344";"Debate"
"280";"344";"Debate"
